단어,발음,주요뜻,메모,암기여부,저장날짜
indiscretion,ìndiskréʃən,무분별|사려 없음|경솔,,미암기,2010-10-21 21:49:25
promiscuous,prəmískjuəs,난잡한|혼잡한|마구잡이의,,미암기,2010-10-21 21:48:25
everything but the kitchen sink,,하나에서 열까지 모두|무엇이나|생각할 수 있는 모든 것,,미암기,2010-10-21 15:50:41
old hand,,숙련자|노련가|경험자,,미암기,2010-10-21 13:42:40
wind down,wáinddàun,단계적 축소|늦어지다|서다,,미암기,2010-10-21 13:39:21
pass on,,속이다|이용하다|물려주다,,미암기,2010-10-21 12:34:16
looker,lúkər,보는 사람|검사관|인물이 잘 생긴 여자,,미암기,2010-10-21 12:29:49
spitting image,,꼭 닮음|빼쏨|빼닮음,,미암기,2010-10-21 12:29:06
labor of love,,좋아서 하는 일|사랑의 수고|독지 사업,,미암기,2010-10-19 13:01:02
out of place,,장소에 어울리지 않는|붕 뜬 듯한|잘못 놓인,,미암기,2010-10-19 12:35:04
in store,,점내의|점내에서 쓰여지는|가게 안에있는,,미암기,2010-10-15 12:50:42
on the rocks,,얼음을 넣은|파산하여|파멸할 지경에,,미암기,2010-10-15 12:38:24
outset,auˈtseˌt,착수|시작,,미암기,2010-10-15 12:36:43
clincher,klínʧər,결정적 요인|구부려 박는 도구|결정타,,미암기,2010-10-15 12:27:06
sanction,sǽŋkʃən,제재|인정하다|허가|처벌|지지,,미암기,2010-10-13 22:38:17
jam,dʒæm,잼|방해하다|막히는|즉흥적인|채워넣은,,미암기,2010-10-13 18:04:38
take up the slack,,느슨함을 죄다|기강을 바로잡다|활력을 넣다,,미암기,2010-10-13 17:54:47
house,haus,주택|집|하우스|의회|가정의,,미암기,2010-10-13 16:58:48
push,puʃ,추진하다|밀다|누르다|노력하다|압력을 가하다,,미암기,2010-10-13 16:40:27
tag along,,"go along with, often uninvited",,미암기,2010-10-13 14:23:38
pipe dream,,몽상|꿈 같은 이야기|공상적인 생각,,미암기,2010-10-13 14:15:11
whine,hwain,낑낑거리다|우는 소리|애처롭게 콧소리를 내다,,미암기,2010-10-13 14:06:41
juice,dʒuːs,주스|즙|힘,,미암기,2010-10-13 11:16:55
go belly up,,죽다|실패하다|도산하다,,미암기,2010-10-12 12:32:54
breakdown,breiˈkdauˌn,붕괴|고장|쇠약|명세|실책,,미암기,2010-10-11 21:10:57
bash,bæʃ,강타하다|강타|…을 두들겨 우그러뜨리다,,미암기,2010-10-11 21:00:20
command performance,,어전 연극|어전 상연,,미암기,2010-10-11 20:40:06
backfire,bæˈkfaiˌr,역효과|역풍|실패하다|부작용|역화,,미암기,2010-10-11 20:34:04
chattel,ʧǽtl,동산|가재|노예,"1)goods and chattels 일체의 동산 

",미암기,2010-10-10 16:30:52
overshadow,ouˈvərʃæˈdou,가리다|…을 흐리게 하다|…을 어둡게 하다,,미암기,2010-10-10 16:26:25
best man,,신랑 들러리|최적임자,,미암기,2010-10-10 16:21:18
stun,stʌn,놀라게 하다|멋지다|기절시키다,,미암기,2010-10-10 16:09:19
obvious,άbviəs,분명한|명백한|뻔한|확실한,,미암기,2010-10-08 23:09:16
occur,əkə́ːr,발생하다|일어나다|생기다|나타나다|발견되다,,미암기,2010-10-06 23:28:18
hand and foot,,손발을 다 함께|꼼짝달싹 못 하도록|노예같이,,미암기,2010-10-06 22:58:26
assault and battery,,폭행|폭력 행위|폭행 구타,,미암기,2010-09-29 22:57:39
blast,blæst,폭발|발사하다|공격하다|날리다|홈런을 치다,,미암기,2010-09-29 22:20:46
mushy,mΛʃi,무른|지나치게 감상적인|눈물이 많은,,미암기,2010-09-29 22:19:36
gamy,géimi,용감한|사냥감 냄새가 나는|기운 좋은,,미암기,2010-09-29 22:18:56
sirloin,sə́ːrlɔin,설로인,,미암기,2010-09-29 22:18:23
clientele,klàiəntél,고객|환자|소송 의뢰인,,미암기,2010-09-29 22:17:56
presentable,prizéntəbl,남 앞에 내놓을 만한|상연할 수 있는|보기 흉하지 않은,,미암기,2010-09-29 22:16:39
washbowl,,세면기|세면대|세숫대야,,미암기,2010-09-26 10:38:37
frisk,frisk,깡충깡충 뛰다|까불며 놀다|더듬어 보다,,미암기,2010-09-26 10:37:33
unrequited,əˌnrikwaiˈtid,보답 없는|일방적인|무보수의,,미암기,2010-09-26 10:02:52
staunch,stɔːnʧ,충실한|확고한|견실한,,미암기,2010-09-26 10:02:18
distress,distrés,고통|곤란|고난|걱정|지친,,미암기,2010-09-26 09:55:16
nosy,nóuzi,참견하기 좋아하는|꼬치꼬치 캐묻는|２ 참견하기 좋아하는 사람,,미암기,2010-09-26 09:54:04
